row_id,attacker_model,dataset,attack_type,victim_model,attack_method,similarity,clean_similarity,threshold,breach,impact
9,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.394584493416662,0.2683088183403015,0.380176,0,-0.1262756750763605
15,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.3014993997825119,0.6775953769683838,0.380176,1,0.3760959771858719
16,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.3495499070803948,0.6158847212791443,0.380176,1,0.2663348141987495
23,Facenet512,lfw_pairs,dodging_attack,ArcFace,ATT,0.2328250510978791,0.6419427394866943,0.380176,1,0.40911768838881524
18,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.4572444808441748,0.7534175515174866,0.389981,0,0.2961730706733118
27,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.5048224487295525,0.7247549891471863,0.389981,0,0.21993254041763377
28,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.3963784165504778,0.3586554825305938,0.389981,0,-0.03772293401988397
30,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.3903170412063147,0.5551614761352539,0.389981,0,0.1648444349289392
33,Facenet512,celeba_pairs,dodging_attack,ArcFace,ATT,0.5392020154539037,0.8753218650817871,0.389981,0,0.33611984962788344
1,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.0996877561840327,0.3415670692920685,0.423448,1,0.2418793131080358
4,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.0770308101639536,0.017865490168333,0.423448,1,-0.05916531999562061
7,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3738001985924526,0.6302404403686523,0.423448,1,0.25644024177619973
10,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.6619768497595856,0.5862312316894531,0.423448,0,-0.07574561807013247
11,Facenet512,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3892345687811258,0.1998281925916671,0.423448,1,-0.1894063761894587
0,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,0.1117835927515808,0.2113871872425079,0.380176,0,-0.09960359449092711
32,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,-0.0732994759174917,0.0229567140340805,0.380176,0,-0.0962561899515722
48,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,0.1019680280087735,0.1083588227629661,0.380176,0,-0.0063907947541926025
57,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2499536384956479,0.2939320802688598,0.380176,0,-0.04397844177321192
60,GhostFaceNet,lfw_pairs,impersonation_attack,ArcFace,ATT,-0.0371271352643113,0.0810950919985771,0.380176,0,-0.1182222272628884
2,GhostFaceNet,celeba_pairs,impersonation_attack,ArcFace,ATT,0.3460552251037047,0.2291036397218704,0.389981,0,0.11695158538183428
8,GhostFaceNet,celeba_pairs,impersonation_attack,ArcFace,ATT,0.2743123091144439,0.1708459556102752,0.389981,0,0.10346635350416866
