row_id,dataset,attack_type,victim_model,similarity,clean_similarity,threshold,breach,impact
0,lfw_pairs,impersonation_attack,ArcFace,0.5405241961379335,0.2113871872425079,0.380176,1,0.3291370088954255
32,lfw_pairs,impersonation_attack,ArcFace,0.4259664792476791,0.0229567140340805,0.380176,1,0.4030097652135986
48,lfw_pairs,impersonation_attack,ArcFace,0.4613497027929114,0.1083588227629661,0.380176,1,0.3529908800299453
57,lfw_pairs,impersonation_attack,ArcFace,0.4367210122796984,0.2939320802688598,0.380176,1,0.1427889320108386
60,lfw_pairs,impersonation_attack,ArcFace,0.6478608794070649,0.0810950919985771,0.380176,1,0.5667657874084878
2,celeba_pairs,impersonation_attack,ArcFace,0.7160221075654439,0.2291036397218704,0.389981,1,0.4869184678435735
8,celeba_pairs,impersonation_attack,ArcFace,0.6689629297926878,0.1708459556102752,0.389981,1,0.4981169741824126
12,celeba_pairs,impersonation_attack,ArcFace,0.5902378826107038,0.2072169482707977,0.389981,1,0.383020934339906
26,celeba_pairs,impersonation_attack,ArcFace,0.3858642083720983,0.0089564956724643,0.389981,0,0.37690771269963397
34,celeba_pairs,impersonation_attack,ArcFace,0.652425751725349,0.1476320326328277,0.389981,1,0.5047937190925214
3,vggface2_pairs,impersonation_attack,ArcFace,0.7532853554379074,0.0339482352137565,0.423448,1,0.719337120224151
5,vggface2_pairs,impersonation_attack,ArcFace,0.5056539723540374,0.0034883907064795,0.423448,1,0.5021655816475579
17,vggface2_pairs,impersonation_attack,ArcFace,0.7566011096658395,0.3356752395629883,0.423448,1,0.4209258701028512
19,vggface2_pairs,impersonation_attack,ArcFace,0.574612078800217,0.1917921304702758,0.423448,1,0.38281994832994126
21,vggface2_pairs,impersonation_attack,ArcFace,0.5431074529960882,0.1859162747859954,0.423448,1,0.35719117821009283
6,lfw_pairs,dodging_attack,ArcFace,0.0605638424939065,0.7488540410995483,0.380176,0,-0.6882901986056419
9,lfw_pairs,dodging_attack,ArcFace,0.2263962123539684,0.2683088183403015,0.380176,0,-0.04191260598633312
15,lfw_pairs,dodging_attack,ArcFace,-0.0185490048425693,0.6775953769683838,0.380176,0,-0.6961443818109531
16,lfw_pairs,dodging_attack,ArcFace,0.0455831330889379,0.6158847212791443,0.380176,0,-0.5703015881902064
23,lfw_pairs,dodging_attack,ArcFace,0.1206209260816976,0.6419427394866943,0.380176,0,-0.5213218134049967
18,celeba_pairs,dodging_attack,ArcFace,0.0807570953006406,0.7534175515174866,0.389981,0,-0.672660456216846
27,celeba_pairs,dodging_attack,ArcFace,0.2128482392471824,0.7247549891471863,0.389981,0,-0.5119067499000038
28,celeba_pairs,dodging_attack,ArcFace,0.0887855558823697,0.3586554825305938,0.389981,0,-0.2698699266482241
30,celeba_pairs,dodging_attack,ArcFace,-0.1156149601456236,0.5551614761352539,0.389981,0,-0.6707764362808775
33,celeba_pairs,dodging_attack,ArcFace,0.2158562448242308,0.8753218650817871,0.389981,0,-0.6594656202575563
1,vggface2_pairs,dodging_attack,ArcFace,-0.1211743337232243,0.3415670692920685,0.423448,0,-0.46274140301529276
4,vggface2_pairs,dodging_attack,ArcFace,-0.2238444116887981,0.017865490168333,0.423448,0,-0.2417099018571311
7,vggface2_pairs,dodging_attack,ArcFace,0.0200919426398584,0.6302404403686523,0.423448,0,-0.610148497728794
10,vggface2_pairs,dodging_attack,ArcFace,0.3295998415463966,0.5862312316894531,0.423448,0,-0.2566313901430565
11,vggface2_pairs,dodging_attack,ArcFace,-0.0087001126023188,0.1998281925916671,0.423448,0,-0.20852830519398588
