row_id,attacker_model,dataset,attack_type,victim_model,attack_method,similarity
17,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.2777996352409358
19,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.32709882123472833
21,GhostFaceNet,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.26749473894194314
6,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.5057184461691611
9,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.483660604821126
15,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.4349144177825305
16,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.4931520992488819
23,GhostFaceNet,lfw_pairs,dodging_attack,ArcFace,ATT,0.44097164059112
18,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.5449435470740487
27,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.4862754688724794
28,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.4850853981385103
30,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.44505295506201603
33,GhostFaceNet,celeba_pairs,dodging_attack,ArcFace,ATT,0.5907765429322742
1,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.35803190970273363
4,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.08484909159859834
7,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.4165031711663305
10,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.7099448087936236
11,GhostFaceNet,vggface2_pairs,dodging_attack,ArcFace,ATT,0.2943169783017695
0,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2636800733462735
32,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.17126450804247131
48,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.10582993404046954
57,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.2874522266254615
60,VGG-Face,lfw_pairs,impersonation_attack,ArcFace,ATT,0.29015208368646306
2,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.4577320093593988
8,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.4200110462396214
12,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.339597577490878
26,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.2717347745593487
34,VGG-Face,celeba_pairs,impersonation_attack,ArcFace,ATT,0.349171650003139
3,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.41463345207805175
5,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.08977474316516777
17,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.620421728070765
19,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.48369249721148544
21,VGG-Face,vggface2_pairs,impersonation_attack,ArcFace,ATT,0.31764917621899763
6,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.31254022342897664
9,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.37969492539457866
15,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.35991245132116145
16,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.0036941249380681492
23,VGG-Face,lfw_pairs,dodging_attack,ArcFace,ATT,0.1783060634677006
18,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.4450058099358083
27,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.43349404015642395
28,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.30065158475671566
30,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.33804625357424395
33,VGG-Face,celeba_pairs,dodging_attack,ArcFace,ATT,0.4470828029860194
1,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.19784015838928012
4,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.06364853337027772
7,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.32245134568688777
10,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.5990719476508838
11,VGG-Face,vggface2_pairs,dodging_attack,ArcFace,ATT,0.3443272170502549
0,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.5712248903548863
32,ArcFace,lfw_pairs,impersonation_attack,Facenet512,ATT,0.45289999773513856
