attacker_model,victim_model,attack_method,num_rows,breach_rate_pct,impact_mean
ArcFace,Facenet512,MIG,30,33.33333333333333,0.2847010721142093
ArcFace,GhostFaceNet,MIG,30,43.333333333333336,0.13373243765284618
ArcFace,IR152,MIG,30,23.333333333333332,0.22333149400850136
ArcFace,VGG-Face,MIG,30,36.666666666666664,0.1595226086676121
Facenet512,ArcFace,MIG,30,60.0,0.23002699275190633
Facenet512,GhostFaceNet,MIG,30,40.0,0.13104339040194948
Facenet512,IR152,MIG,30,30.0,0.25104499189183116
Facenet512,VGG-Face,MIG,30,53.333333333333336,0.21847382734219234
GhostFaceNet,ArcFace,MIG,30,26.666666666666668,0.12039752096558612
GhostFaceNet,Facenet512,MIG,30,10.0,0.15139872996757428
GhostFaceNet,IR152,MIG,30,6.666666666666667,0.14487200686708093
GhostFaceNet,VGG-Face,MIG,30,13.333333333333334,0.08652645461261274
VGG-Face,ArcFace,MIG,30,53.333333333333336,0.24081491421287263
VGG-Face,Facenet512,MIG,30,60.0,0.43800360582148035
VGG-Face,GhostFaceNet,MIG,30,36.666666666666664,0.11505698738619685
VGG-Face,IR152,MIG,30,10.0,0.18516240175813437
